dua_id,duaId,duaArabic,dua_ur,dua_en,duaReference_ur,duaReference_en,duaType_ur,duaType_en,duaTitle_ur,duaTitle_en,Dua_IRI
11,QuranicDua-10,رَبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِیْ صَغِيْرًا,اے میرے رب! ان پر رحم فرما جس طرح اِنہوں نے رحمت و شفقت کے ساتھ مجھے بچپن میں پالا تھا,"My Lord, have mercy upon them as they brought me up [when I was] small.",( الاسراء :24  ),( الاسراء :24  ),قرآنى دعاء‎,Qurani Dua,والدین کے لیے دعا,Dua for Parents,
12,QuranicDua-11,رَبِّ اِنِّیْ لِمَآ اَنْزَلْتَ اِلَیَّ مِنْ خَيْرٍ فَقِيْر,اے میرے رب ! جو بھی خیر تو مجھ پر نازل فرمائے ، میں اس کا محتاج ہوں,"My Lord, indeed I am, for whatever good You would send down to me, in need.",( القصص: 24 ),( القصص: 24 ),قرآنى دعاء‎,Qurani Dua,ہر کام میں خیر طلب کرنے کی دعا,Seeking Goodness in Every Task,
13,QuranicDua-12,رَبِّ لَا تَذَرْنِیْ فَرْدًا وَّ اَنْتَ خَيْرُالْوٰرِثِيْنَ,اے میرے رب ! مجھے اکیلا(بے اولاد) نہ چھوڑ اور تو ہی بہترین وارث ہے ,"My Lord, do not leave me alone [with no heir], while you are the best of inheritors.",( الأنبیاء : 89 ),( الأنبیاء : 89 ),قرآنى دعاء‎,Qurani Dua,بہترین وارث کا سوال کرنا,Asking for a Virtuous Heir,
14,QuranicDua-13,رَبِّ اغْفِرْ وَارْحَمْ وَاَنْتَ خَیْرُالرّٰحِمِیْنَ,اے میرے رب ! بخش دے اور رحم فرما اور تو رحم کرنے والوں میں بہترین ہے,"My Lord, forgive and have mercy, and You are the best of the merciful.",( المؤمنون :118  ),( المؤمنون :118  ),قرآنى دعاء‎,Qurani Dua,بخشش اور رحمت طلب کرنے کی دعا,Seeking Forgiveness and Mercy,
15,QuranicDua-14,رَبِّ ابْنِ لِیْ عِنْدَكَ بَیْتًا فِی الْجَنَّةِ,اے میرے رب ! میرے لیے اپنے پاس جنت میں ایک گھر بنا دے,"My Lord, build for me near You a house in Paradise.",( التّحْریم : 11 ),( التّحْریم : 11 ),قرآنى دعاء‎,Qurani Dua,جنت میں گھر کی دعا,Dua for a House in Jannah,
16,QuranicDua-15,رَبِّ اَدْخِلْنِیْ مُدْخَلَ صِدْقٍ وَّاَخْرِجْنِیْ مُخْرَجَ صِدْقٍ وَّاجْعَلْ لِّیْ مِنْ لَّدُنْكَ سُلْطانًا نَّصِيْرًا,اے میرے رب ! تُو مجھے داخل کر سچائی کے ساتھ داخل ہونے کی جگہ (پر) اور مجھے نکال سچائی کے ساتھ نکالنے کی جگہ (سے) اور اپنی طرف سے ایک قوت کو میرا مدد گار بنا دے ,"My Lord, cause me to enter a sound entrance and to exit a sound exit and grant me from Yourself a supporting authority.",( الاسراء : 80 ),( الاسراء : 80 ),قرآنى دعاء‎,Qurani Dua,نئی جگہ پر جاتے وقت دعا,Dua when Visiting a New Place,
17,QuranicDua-16,رَبِّ اَنْزِلْنِیْ مُنْزَلًا مُّبَارَكًا وَّ اَنْتَ خَيْرُ الْمُنْزِلِيْنَ,اے میرے رب! مجھے برکت والی جگہ اُتار اور تو اتارنے والوں میں سے بہترین ہے,"My Lord, let me land at a blessed landing place, and You are the best to accommodate [us].",( المؤمنون : 29 ),( المؤمنون : 29 ),قرآنى دعاء‎,Qurani Dua,سفر میں پڑاؤ ڈالتے وقت دعا,Supplication while Camping on the Journey,
18,QuranicDua-17,رَبِّ انْصُرْنِیْ عَلَی الْقَوْمِ الْمُفْسِدِیْنَ,اے میرے رب! فساد کرنے والی قوم کے مقابلہ میں میری مدد فرما,"My Lord, support me against the corrupting people.",( العنکبوت : 30 ),( العنکبوت : 30 ),قرآنى دعاء‎,Qurani Dua,فسادی لوگوں کے مقابلے میں مدد طلب کرنے کی دعا,Seeking Help against Quarrelsome People,
19,QuranicDua-18,رَّبِّ أَعُوذُ بِكَ مِنْ هَمَزَاتِ الشَّيَاطِينِ ۝ وَاَعُوْذُبِكَ رَبِّ اَنْ يَّحْضُرُوْنِ,اے میرے رب! میں شیاطین کی اکساہٹوں سے تیری پناہ مانگتا ہوں اور میں تیری پناہ مانگتا ہوں اے میرے رب !کہ وہ میرے پاس آئیں,"My Lord, I seek refuge in You from the incitements of the devils. And I seek refuge in You, my Lord, lest they be present with me.",( المؤمنون : 98-97 ),( المؤمنون : 98-97 ),قرآنى دعاء‎,Qurani Dua,شیطانی وسوسوں سے بچنے کی دعا,Seeking Refuge from the Whispers of Shaitan,
20,QuranicDua-19,رَبِّ اِنِّیْ اَعُوْذُبِكَ اَنْ اَسْئَلَكَ مَا لَیْسَ لِیْ بِهِ عِلْم وَاِلَّا تَغْفِرْلِیْ وَتَرْحَمْنِیْ اَكُنْ مِّنَ الْخاسِرِیْنَ,اے میرے رب! میں تیری پناہ مانگتا ہوں اس سے کہ وہ چیز تجھ سے مانگوں جس کا مجھے علم نہیں اور اگر تو نے مجھے معاف نہ کیا اورمجھ پر رحم نہ فرمایا تو میں خسارہ پانے والوں میں سے ہو جاؤں گا,"My Lord, I seek refuge in You from asking that of which I have no knowledge. And unless You forgive me and have mercy upon me, I will be among the losers.",( ھود :  47),( ھود :  47),قرآنى دعاء‎,Qurani Dua,لایعنی سوالات سے بچنے کی دعا,Seeking Refuge from Asking Unnecessary Questions,
21,QuranicDua-20,رَبِّ اجْعَلْنِیْ مُقِیْمَ الصَّلَاةِ وَمِنْ ذُرِّیَّتِیْ  ۖ رَبَّنَا وَتَقَبَّلْ دُعَآء ۝ رَبَّنَا اغْفِرْلِیْ وَلِوَالِدَیَّ وَلِلْمُؤْمِنِیْنَ یَوْمَ یَقُوْمُ الْحِسَابُ,اے میرے رب ! مجھے اور میری اولاد کو نماز قائم کرنے والا بنا، اے ہمارے رب ! اور تو میری دعا قبول فرما اے ہمارے رب ! مجھے اور میرے والدین کو اور سب ایمان والوں کو اُس دن بخش دینا جب حساب قائم ہو گا,"My Lord, make me an establisher of prayer, and [many] from my descendants. Our Lord, and accept my supplication. Our Lord, forgive me and my parents and the believers the Day the account is established.",( ابراهیم : 41-40 ),( ابراهیم : 41-40 ),قرآنى دعاء‎,Qurani Dua,اپنے اور اولاد کے لیے نماز کے قیام کی توفیق مانگنا,Dua for the Ability to Establish Prayers,
22,QuranicDua-21,رَبِّ هَبْ لِیْ حُكْمًا وَّاَلْحِقْنِیْ بِالصَّالِحِيْنَ ۝ وَاجْعَلْ لِّیْ لِسَانَ صِدْقٍ فِی الْاٰخِرِيْنَ ۝ وَاجْعَلْنِیْ مِنْ وَّرَثَةِ جَنَّةِ النَّعِيْمِ ۝...وَلَا تُخْزِنِیْ یَوْمَ یُبْعَثُوْنَ,اے میرے رب ! مجھے قوتِ فیصلہ عطا فرما اور مجھے نیک لوگوں سے ملا دےاور بعد میں آنے والوں میں میری سچی ناموری باقی رکھ اور مجھے نعمتوں بھری جنت کے وارثوں میں سے بنا دے اور مجھے رسوا نہ کرنا جس دن وہ (لوگ) اٹھائے جائیں گے,"My Lord, grant me authority and join me with the righteous. And grant me a reputation of honor among later generations. And place me among the inheritors of the Garden of Pleasure.......And do not disgrace me on the Day they are [all] resurrected.","( الشعرائ : 87,85-83 )","( الشعرائ : 87,85-83 )",قرآنى دعاء‎,Qurani Dua,حکمت اور نیک لوگوں کے ساتھ کی دعا,Seeking the Company of Righteous,
23,QuranicDua-22,رَبِّ اَوْزِعْنِیْ اَنْ اَشْكُرَ نِعْمَتَكَ الَّتِیْ اَنْعَمْتَ عَلَیَّ وَعَلَىٰ  وَالِدَیَّ وَاَنْ اَعْمَلَ صَالِحًا تَرْضَاہُ وَاَدْخِلْنِیْ بِرَحْمَتِكَ فِیْ عِبَادِكَ الصَّالِحِیْنَ,اے میرے رب! مجھے توفیق دے کہ میں تیری اس نعمت کا شکر ادا کروں جو تُو نے مجھ پر اور میرے والدین پر عطا فرمائی اور یہ کہ ایسا نیک عمل کروں جس سے تو راضی ہو جائے او ر اپنی رحمت سے مجھے اپنے نیک بندوں میں داخل کر,"My Lord, enable me to be grateful for Your favor which You have bestowed upon me and upon my parents and to do righteousness of which You approve. And admit me by Your mercy into [the ranks of] Your righteous servants.",( النمل : 19 ),( النمل : 19 ),قرآنى دعاء‎,Qurani Dua,نعمتوں کا شکر ادا کرنے کی توفیق مانگنا,Asking for the Ability to be Grateful,
24,QuranicDua-23,رَبِّ اَوْزِعْنِیْ اَنْ اَشْكُرَ نِعْمَتَكَ الَّتِیْ اَنْعَمْتَ عَلَیَّ وَعَلَىٰ  وَالِدَیَّ وَاَنْ اَعْمَلَ صَالِحًا تَرْضَاہُ وَاَصْلِحْ  لِیْ فِیْ ذُرِّيَّتِیْ ۚ اِنِّیْ تُبْتُ اِلَیْكَ وَاِنِّیْ مِنَ الْمُسْلِمِیْنَ,اے میرے رب! مجھے توفیق دے کہ میں تیری اس نعمت کا شکر ادا کروں جو تُونے مجھ پر اور میرے والدین پر عطا فرمائی اور یہ کہ ایسا نیک عمل کروں جس سے تو راضی ہو جائے اورمیرے لیے میری اولاد کی اصلاح فرما دے، بے شک میں نے تیری طرف توبہ کی اور بے شک میں مسلمانوں میں سے ہوں,"My Lord, enable me to be grateful for Your favor which You have bestowed upon me and upon my parents and to work righteousness of which You will approve and make righteous for me my offspring. Indeed, I have repented to You, and indeed, I am of the Muslims.",( الأحقاف : 15 ),( الأحقاف : 15 ),قرآنى دعاء‎,Qurani Dua,نعمتوں کا شکر ادا کرنے کی توفیق مانگنا,Asking for the Ability to be Grateful,
25,QuranicDua-24,رَبَّنَآ اٰتِنَا فِی الدُّنْيا حَسَنَةً وَّ فِی الْاٰخِرَةِ حَسَنَةً وَّ قِنَا عَذَابَ النَّارِ,اے ہمارے رب! ہمیں دنیا میں بھلائی عطا فرما اور آخرت میں بھلائی عطا فرما اور ہمیں آگ کے عذاب سے بچا,"Our Lord, give us in this world [that which is] good and in the Hereafter [that which is] good and protect us from the punishment of the Fire.",( البقرة : 201),( البقرة : 201),قرآنى دعاء‎,Qurani Dua,دنیا و آخرت میں بھلائی کی دعا,Dua for Goodness in this Life and the Next,
26,QuranicDua-25,رَبَّنَآ اٰتِنَا مِنْ لَّدُنْكَ رَحْمَةً وَّهيِّء لَنَا مِنْ اَمْرِنَا رَشَدًا,اے ہمارے رب! ہمیں اپنی طرف سے رحمت عطا کر اور ہمارے لیے ہمارے معاملے میں بھلائی عطا فرما,"Our Lord, grant us from Yourself mercy and prepare for us from our affair right guidance.",( الکھف : 10 ),( الکھف : 10 ),قرآنى دعاء‎,Qurani Dua,رحمت اور ہر معاملے میں بھلائی طلب کرنا,Asking for Allah's Mercy and Goodness,
27,QuranicDua-26,رَبَّنَا عَلَیْكَ تَوَكَّلْنَا وَاِلَيْكَ اَنَبْنَا وَاِلَيْكَ الْمَصِيْرُ,اے ہمارے رب! تجھ پر ہم نے بھروسہ کیا اور تیری طرف ہم نے رجوع کیا اور تیری ہی طرف لوٹنا ہے,"Our Lord, upon You we have relied, and to You we have returned, and to You is the destination.",( الممتحنة : 4 ),( الممتحنة : 4 ),قرآنى دعاء‎,Qurani Dua,اللہ تعالیٰ پر کامل بھروسہ اور رجوع کرنا,Absolute Trust in Allah,
28,QuranicDua-27,رَبَّنَآ اٰمَنَّا بِمَآ اَنْزَلْتَ وَاتَّبَعْنَا الرَّسُوْلَ فَاكْتُبْنَا مَعَ الشَّاهِدِيْنَ,اے ہمارے رب! ہم ایمان لائے اس پر جو تو نے نازل کیا اورہم نے رسول کی پیروی کی، پس ہمیں گواہی دینے والوں میں لکھ لے ,"Our Lord, we have believed in what You revealed and have followed the messenger Jesus, so register us among the witnesses [to truth].",( آٰلِ عمران : 53 ),( آٰلِ عمران : 53 ),قرآنى دعاء‎,Qurani Dua,ایمان کا اقرار,Dua to be Included among the Believers,
29,QuranicDua-28,رَبَّنَآ اَتْمِمْ لَنَا نُوْرَنَا وَاغْفِرْ لَنَا ۚ  اِنَّكَ عَلَی كُلِّ شَیْئٍ قَدِيْر,اے ہمارے رب! ہمارا نور ہمارے لیے مکمل کر دے اور ہماری بخشش فرما، بے شک تو ہر چیز پر قدرت رکھنے والا ہے,"Our Lord, perfect for us our light and forgive us. Indeed, You are over all things competent.",( التحریم : 8 ),( التحریم : 8 ),قرآنى دعاء‎,Qurani Dua,نور کے اتمام اور بخشش کی دعا,Dua for Nur and Forgiveness,
30,QuranicDua-29,رَبَّنَا هَبْ لَنَا مِنْ اَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ اَعْيُنٍ وَّاجْعَلْنَا لِلْمُتَّقِيْنَ اِمَامًا,اے ہمارے رب! ہمیں اپنی بیویوں اور اولاد سے آنکھوں کی ٹھنڈک عطا فرما اور ہمیں متقین کا امام بنا,"Our Lord, grant us from among our wives and offspring comfort to our eyes and make us an example for the righteous.",( الفرقان : 74 ),( الفرقان : 74 ),قرآنى دعاء‎,Qurani Dua,زوج اور اولاد کے آنکھوں کی ٹھنڈک ہوجانے کی دعا,Asking Allah for Righteous Spouse and Offsprings,
31,QuranicDua-30,رَبَّنَا  اَفْرِغْ عَلَیْنَا صَبْرًا وَّ تَوَفَّنَا مُسْلِمِیْنَ,اے ہمارے رب! ہم پر صبر انڈیل دے اور ہمیں مسلمان فوت کرنا,"Our Lord, pour upon us patience and let us die as Muslims [in submission to You].",( الأعراف : 126 ),( الأعراف : 126 ),قرآنى دعاء‎,Qurani Dua,صبر اور اسلام پر خاتمہ کی دعا,Dua for Patience and Dying as a Muslim,
32,QuranicDua-31,رَبَّنَآ اَفْرِغْ عَلَيْنَا صَبْرًا وَّ ثَبِّتْ اَقْدَامَنَا وَانْصُرْنَا عَلَی الْقَوْمِ الْكَافِرِيْنَ,اے ہمارے رب! ہم پر صبر انڈیل دے اور ہمارے قدم جما دے اور کافر قوم کے مقابلے میں ہماری مدد فرما,"Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people.",( البقرة : 250 ),( البقرة : 250 ),قرآنى دعاء‎,Qurani Dua,صبر اور دشمن کے مقابلے میں ثابت قدمی کی دعا,Asking for Patience and and Steadfastness,
33,QuranicDua-32,رَبَّنَا لَا تَجْعَلْنَا فِتْنَةً لِّلْقَوْمِ الظَّالِمِيْنَ ۝ وَنَجِّنَا بِرَحْمَتِكَ مِنَ الْقَوْمِ الْكَافِرِيْنَ ۝,اے ہمارے رب! ہمیں ظالم لوگوں کے لیے فتنہ نہ بنا اور اپنی رحمت سے ہمیں کافر قوم سے نجات دے,"Our Lord, make us not [objects of] trial for the wrongdoing people. And save us by Your mercy from the disbelieving people.",( یونس : 86-85 ),( یونس : 86-85 ),قرآنى دعاء‎,Qurani Dua,کافر قوم کے غلبے سے نجات کی دعا,Seeking Refuge from being Overpowered by Disbelievers,
34,QuranicDua-33,رَبَّنَا لَا تُزِغْ قُلُوْبَنَا بَعْدَ اِذْ هَدَيْتَنَا وَهَبْ لَنَا مِنْ لَّدُنْكَ رَحْمَةً  ۚ اِنَّكَ اَنْتَ الْوَهَّابُ,اے ہمارے رب! جب تو نے ہمیں ہدایت دے دی ہے تو ہمارے دلوں کو ٹیڑھا نہ کر اور ہمیں اپنی طرف سے رحمت عطا کر ،بے شک تو بہت زیادہ عطا کرنے والا ہے,"Our Lord, let not our hearts deviate after You have guided us and grant us from Yourself mercy. Indeed, You are the Bestower.",( آلِ عمران : 8 ),( آلِ عمران : 8 ),قرآنى دعاء‎,Qurani Dua,ہدایت کے بعد دل ٹیڑھا ہونے سے بچنے کی دعا,Seeking Refuge from going Astray,
35,QuranicDua-34,رَبَّنَآ  اِنَّنَآ اٰمَنَّا فَاغْفِرْلَنَا ذُنُوْبَنَا وَقِنَا عَذَابَ النَّارِ,اے ہمارے رب! بے شک ہم ایمان لائے، پس ہمارے گناہوں کو بخش دے اور ہمیں آگ کے عذاب سے بچا لے,"Our Lord, indeed we have believed, so forgive us our sins and protect us from the punishment of the Fire.",( آلِ عمران : 16 ),( آلِ عمران : 16 ),قرآنى دعاء‎,Qurani Dua,گناہوں کی بخشش,Seeking Forgiveness,
36,QuranicDua-35,رَبَّنَا ظَلَمْنَآ اَنْفُسَنَا وَاِنْ لَّمْ تَغْفِرْلَنَا وَتَرْحَمْنَا لَنَكُوْنَنَّ مِنَ الْخَاسِرِيْنَ,اے ہمارے رب ! ہم نے اپنے اوپر ظلم کیا اور اگر تو نے ہم سے درگزر نہ فرمایا ا ور ہم پر رحم نہ کیا تو یقیناً ہم خسارہ پانے والوں میں سے ہو جائیں گے,"Our Lord, we have wronged ourselves, and if You do not forgive us and have mercy upon us, we will surely be among the losers.",( الأعراف : 23 ),( الأعراف : 23 ),قرآنى دعاء‎,Qurani Dua,بخشش اور رحمت طلب کرنے کی دعا,Seeking Allah's Forgiveness and Mercy,
37,QuranicDua-36,رَبَّنَا اغْفِرْلَنَا ذُنُوْبَنَا وَاِسْرَافَنَا فِیْ اَمْرِنَا وَثَبِّتْ اَقْدَامَنَا وَانْصُرْنَا عَلَی الْقَوْمِ الْكَافِرِيْنَ,اے ہمارے رب ! ہمارے گناہ بخش دے اور ہمارامعاملہ میں حد سے بڑھنا بھی اور ہمارے قدم جما دے اور کافر قوم کے مقابلے میں ہماری مدد فرما,"Our Lord, forgive us our sins and the excess [committed] in our affairs and plant firmly our feet and give us victory over the disbelieving people.",( آلِ عمران : 147 ),( آلِ عمران : 147 ),قرآنى دعاء‎,Qurani Dua,گناہوں اور حد سے بڑھنے پر بخشش کی دعا,Seeking Forgiveness,
38,QuranicDua-37,رَبَّنَا اغْفِرْلَنَا وَلِاِخْوَانِنَا الَّذِيْنَ سَبَقُوْنَا بِالْاِيْمَانِ وَلَا تَجْعَلْ فِیْ قُلُوْبِنَا غِلاًّ لِّلَّذِيْنَ اٰمَنُوْا رَبَّنَآ اِنَّكَ رَءُوفٌ رَّحِيْم,اے ہمارے رب! ہمیں اور ہمارے ان بھائیوں کو جو ہم سے پہلے ایمان لائے ہیں بخش دے اور ہمارے دلوں میں اہل ایمان کے لیے کوئی بغض نہ رکھ ،اے ہمارے رب ! بے شک تو بہت شفقت کرنے والا، رحم کرنے والا ہے,"Our Lord, forgive us and our brothers who preceded us in faith and put not in our hearts [any] resentment toward those who have believed. Our Lord, indeed You are Kind and Merciful.",( الحشر: 10 ),( الحشر: 10 ),قرآنى دعاء‎,Qurani Dua,بخشش اور اہل ایمان کے لیے بغض سے بچنے کی دعا,Asking for Forgiveness and Seeking Refuge from Hatred,
